name,rate,Mean Rating,cuisines,cost
Kwality Wall's Swirl's Happiness Station,2.9,2.04,ice cream desserts,200.0
Sweet N Swirl,3.2,2.48,desserts ice cream,150.0
Sweet Truth,3.9,3.52,bakery desserts,500.0
Waffle-A-Go Go,3.9,3.52,fast food desserts ice cream,400.0
Sri Venkateshwara Sweet Meat Stall,4.0,3.67,mithai street food north indian chinese,400.0
Baskin Robbins,3.7,3.22,ice cream desserts,250.0
Redberrys,4.0,3.67,cafe italian,600.0
Amande Patisserie,4.0,3.67,bakery french desserts,300.0
Srinivasa Brahmins Bakery,3.6,3.07,bakery street food,150.0
Jain Bakes,3.6,3.07,bakery desserts,250.0
Cake Ghar,3.8,3.37,bakery,400.0
KC Das - Sweet Spot,3.6,3.07,mithai street food,200.0
Diabetics Dezire Sugarless Sweets and Bakes,3.3,2.63,desserts mithai,300.0
Cake Yard,3.3,2.67,desserts,250.0
Iceberg Icecreams,4.0,3.67,desserts ice cream,250.0
A2B Veg - Adyar Ananda Bhavan,2.7,1.74,south indian north indian chinese street food,400.0
Sri Krishna Sweets,3.7,3.22,mithai desserts,250.0
Cake Art,3.5,2.93,bakery,400.0
Asha Sweets Centre,3.6,3.16,fast food,250.0
The Krishna Grand,3.9,3.52,north indian south indian chinese fast food juices,750.0
Sea Spice by 7 Star,4.0,3.67,seafood biryani beverages south indian north indian kebab,1.2
Mini Punjabi Dhaba,4.2,3.96,north indian,350.0
Onesta,4.6,4.44,pizza cafe italian,600.0
Wamama,4.2,3.96,asian korean indonesian japanese chinese thai momos,800.0
Jalsa,4.1,3.81,north indian mughlai chinese,800.0
Vinny's,4.2,3.96,pizza italian continental desserts,800.0
Jcubez,3.8,3.37,finger food,1.3
Gustoes Beer House,4.1,3.81,continental italian mexican north indian chinese steak,1.2
Penthouse Cafe,4.0,3.67,cafe italian continental,700.0
Spice Elephant,4.1,3.81,chinese north indian thai,800.0
Smacznego,4.2,3.96,cafe mexican italian momos beverages,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1,3.81,cafe,500.0
Cafe Shuffle,4.2,3.96,cafe italian continental,600.0
The Coffee Shack,4.2,3.96,cafe chinese continental italian,500.0
Peppy Peppers,4.2,3.96,italian north indian mexican,800.0
Anna Kuteera,4.0,3.67,south indian north indian chinese,450.0
Szechuan Dragon,4.2,3.96,chinese thai momos,600.0
1947,4.0,3.76,north indian chinese,850.0
Caf-Eleven,4.0,3.67,cafe continental,450.0
Thamboola,3.9,3.52,north indian chinese continental,800.0
Havyaka Mess,3.9,3.52,south indian,300.0
San Churro Cafe,3.8,3.37,cafe mexican italian,800.0
Cafe Vivacity,3.8,3.37,cafe,650.0
Chung Wah,3.9,3.47,chinese momos thai vietnamese,900.0
Vietnamese Kitchen,3.6,3.07,vietnamese,700.0
Blue Wings Bar & Restaurant,3.7,3.22,north indian chinese,700.0
Anand Sweets and Savouries,3.7,3.44,mithai street food,400.0
Catch-up-ino,3.9,3.52,cafe fast food continental chinese momos,800.0
Kirthi's Biryani,3.8,3.37,chinese cafe italian,700.0
T3H Cafe,3.9,3.52,cafe italian american,300.0
Srikrishna Bhavan,3.8,3.37,south indian north indian chinese,300.0
Dal Tadkaa,2.5,1.44,north indian,500.0
360 Atoms Restaurant And Cafe,3.1,2.33,cafe chinese continental italian,400.0
New Imperial Restaurant,3.7,3.22,north indian chinese,450.0
The Vintage Cafe,3.0,2.19,cafe french north indian,400.0
Green Gardenia,3.8,3.37,north indian chinese,700.0
Parimala Sweets,3.5,2.93,mithai street food,200.0
Vaishali Deluxe,3.8,3.37,north indian chinese,700.0
Paradise Premium,3.1,2.33,biryani andhra hyderabadi north indian,700.0
Kadala Tarangaa,3.6,3.11,mangalorean seafood north indian,600.0
Vi Ra's Bar and Restaurant,3.3,2.63,south indian north indian chinese,800.0
Sri Yaksha Shiv Sagar,3.6,3.07,north indian chinese,600.0
Nandhini Deluxe,2.6,2.42,north indian,600.0
Corner Stone,3.6,3.07,beverages juices desserts italian,300.0
Karavali Fish Center,3.4,2.78,mangalorean chinese,300.0
Ayda Persian Kitchen,3.7,3.22,north indian iranian,950.0
J Spice,3.8,3.37,north indian chinese,750.0
Swadesh Tadka,3.5,2.93,north indian chinese beverages,600.0
Iyer's Tiffin Centre,3.8,3.37,south indian chinese,150.0
Kydz Adda,3.4,2.78,continental,500.0
K27 - The Pub,3.1,2.33,chinese north indian,1.0
Kotian Karavali Restaurant,3.5,2.93,south indian biryani,300.0
Food Box Cafe,3.6,3.07,mughlai north indian chinese,500.0
Hide Out Cafe,3.7,3.22,cafe,300.0
CAFE NOVA,3.2,2.48,cafe bakery,600.0
Darbar,3.0,2.19,north indian chinese,800.0
Sri Ganesh Juice and Chats,3.5,2.93,juices street food,150.0
Manifest Cafe,3.5,2.93,south indian north indian chinese,500.0
Beijing Bites,2.7,2.23,chinese thai,850.0
The Pizzeria,2.8,1.89,pizza italian salad,800.0
Sri Krishna Sagar,3.2,2.6,north indian chinese,400.0
Lassi Stop,3.4,2.78,beverages fast food juices,150.0
Sea Green Cafe,3.3,2.63,cafe fast food beverages,500.0
As On Fire,3.5,2.93,pizza fast food bbq,400.0
Pizza Hut,3.7,2.42,pizza fast food,750.0
New Prashanth Hotel,3.9,2.95,biryani north indian seafood andhra,650.0
Taaza Thindi,4.7,4.7,south indian,100.0
Ayodhya Upachar,4.3,4.11,south indian north indian chinese street food,200.0
Petoo,3.7,3.39,north indian,450.0
Roving Feast,4.0,3.67,italian continental fast food chinese momos,450.0
KFC,3.8,3.26,burger fast food,450.0
Five Star Chicken,3.6,2.94,fast food burger,200.0
Gama Gama,3.9,3.52,south indian,200.0
Hotel New Karavali,3.8,3.37,mangalorean south indian north indian,300.0
McDonald's,3.9,3.42,burger fast food,500.0
Sri Laxmi Venkateshwara Coffee Bar,4.4,4.26,south indian,100.0
Bhattara Bhojana,3.6,3.07,south indian,150.0
Davanagere Benne Dose Hut,3.4,2.78,south indian,100.0
Utsav Restaurant,3.8,3.31,north indian chinese,300.0
Messy Bowl,3.8,3.37,fast food beverages,500.0
Devanna Dum Biriyani Centre,3.6,3.07,biryani south indian,300.0
Janahaar,3.8,3.37,south indian,100.0
Stop 'N' Joy,3.8,3.37,fast food,150.0
Dodda Mane Baaduta,3.5,2.93,north indian south indian chinese biryani,250.0
Chickpet Donne Biryani House,3.8,3.3,biryani,250.0
Brahmin Cafe,3.8,3.37,south indian,150.0
Chumma Delicious,3.7,3.22,south indian fast food,200.0
Udupi Upachar,3.3,2.63,south indian north indian,500.0
Bengaluru Coffee House,4.1,3.81,south indian north indian chinese street food,300.0
Foodiction,2.8,1.96,north indian fast food chinese burger,500.0
The Biryani Cafe,4.1,3.81,biryani chinese kebab,300.0
Banashankari Donne Biriyani,3.8,3.37,biryani fast food,300.0
Addhuri Udupi Bhojana,3.7,3.22,south indian north indian,300.0
Vasanth Vihar - Since 1965,3.6,3.07,south indian street food,150.0
Subway,3.7,3.03,salad fast food,600.0
SGS Non Veg - Gundu Pulav,3.8,3.43,biryani fast food,400.0
Udupi Ruchi Grand,4.2,3.96,south indian north indian chinese street food,200.0
Hotel Mangala,3.9,3.52,south indian,250.0
Simple Thindies,3.5,2.93,south indian,200.0
Rolls On Wheels,3.4,2.88,fast food rolls momos,300.0
Chilli Flakes,3.6,3.07,fast food italian beverages,500.0
Kababs N Biryani,3.4,2.78,south indian,200.0
Udupi Ruchi,3.9,3.48,south indian north indian chinese street food,200.0
SLV Swadishta,3.8,3.37,south indian,300.0
Kolbeh,3.7,3.22,fast food,500.0
Kolkata Kathi Roll's,3.6,3.07,fast food rolls,250.0
Mylari Biryani Family Restaurant,3.7,3.22,biryani fast food,400.0
Upahar Sagar,3.8,3.37,south indian chinese north indian,350.0
Domino's Pizza,3.9,3.18,pizza fast food,800.0
New Sagar Fast Food,3.6,3.07,north indian south indian,250.0
Namma Biryani,3.6,3.07,biryani chinese north indian,250.0
Parama Ruchi,3.5,2.93,south indian north indian chinese street food,300.0
Thrilok Restaurant,3.4,2.78,mangalorean seafood,350.0
Meat And Eat,3.5,2.63,fast food burger,500.0
Ande Ka Funda,3.8,3.07,north indian fast food rolls,250.0
Dakshin Grand,3.0,2.19,south indian north indian chinese street food,300.0
Chicken Hunt,3.5,2.93,south indian north indian chinese biryani,350.0
Maruthi Davangere Benne Dosa,4.0,3.67,south indian,150.0
Pizza Stop,3.0,3.22,pizza italian,600.0
Madhappa Hindu Military Hotel,3.4,2.78,south indian,300.0
Krishna Sagar,3.5,2.93,north indian,200.0
Hanumanthanagar Biryani Junction,3.5,2.93,south indian,300.0
Faasos,4.2,3.65,north indian biryani fast food,500.0
Rasoi,3.3,2.63,north indian chinese,300.0
SLV Refreshment,4.1,3.81,south indian,100.0
Kaggis,3.8,3.37,fast food bakery,250.0
Chatar Patar,3.7,3.22,fast food street food,300.0
Seven Star,3.4,2.78,north indian chinese,250.0
SVKP Daily Fresh,3.3,2.63,south indian,350.0
Kidambi's Kitchen,3.5,2.93,south indian,300.0
Ruchi's Corner,2.7,1.74,fast food,200.0
Tandoori Knight,3.0,2.19,north indian chinese biryani kebab,450.0
Utsav,3.7,3.22,north indian street food,200.0
Mane Thindi,3.7,3.22,south indian,200.0
Fast And Fresh,2.8,1.89,north indian chinese fast food,400.0
New Gowda's Fried Chicken,3.3,2.63,biryani,300.0
Juicy Momos,3.5,2.73,tibetan momos,250.0
Donne Biriyani House,3.9,3.05,south indian north indian chinese biryani,400.0
Srinagar Kabab Corner,3.4,2.78,north indian,250.0
Sri Venkateshwara Chat Centre,3.5,2.93,street food,100.0
Vinay Bhel Corner,3.4,2.78,street food,100.0
Spice 9,3.4,2.78,biryani north indian chinese fast food,300.0
Naveen Kabab & Biriyani Mane,3.2,2.48,biryani,300.0
Nandi Chats and Juice,3.6,3.07,street food,150.0
Atithi Point Ande Ka Funda,3.1,2.33,north indian,150.0
Just Shawarma,3.8,3.43,arabian,300.0
Aramane Donne Biryani,3.1,2.53,biryani,200.0
FOOD ADDA,3.2,2.48,fast food,200.0
New Mangalore Lunch Home,3.3,2.63,mangalorean south indian north indian,200.0
Hotel Nisarga,3.2,2.48,north indian south indian,250.0
Coffee Bytes,3.1,2.33,fast food south indian,100.0
Parjanya Chat Zone,3.3,2.63,street food fast food,200.0
Yo Roll Corner,3.0,2.19,street food rolls,200.0
New Quality Dum Biryani,3.1,2.33,biryani,200.0
Sri Lakshmi Kabab Center,3.3,2.63,kebab,200.0
Tasty Bites,3.7,3.22,fast food pizza,150.0
Raams Chicken,3.6,3.07,andhra,300.0
Panchami,3.0,2.19,north indian chinese,300.0
VEGeatz,3.4,2.78,south indian north indian,200.0
Grand Food,3.4,2.78,south indian bakery chinese,250.0
Matru Sagar,3.6,3.12,south indian north indian chinese,250.0
Kavali,4.0,3.67,south indian street food,300.0
Bunt's Biriyani Palace,3.0,2.19,north indian south indian chinese biryani seafood,400.0
Funjabi Curries,2.9,2.04,north indian,500.0
Udupi Upahar,3.8,3.37,south indian chinese north indian juices,300.0
Ranganna Military Hotel,4.2,3.96,south indian biryani,350.0
Roti Ghar,3.9,3.52,north indian chinese south indian,500.0
Grand Village,3.8,3.37,north indian rajasthani,600.0
Vidyarthi Bhavan,4.4,4.26,south indian,150.0
Bharjari Oota,3.9,3.52,south indian,350.0
Gokul Veg,3.8,3.37,north indian chinese beverages,750.0
SLV Corner Restaurant,4.1,3.81,south indian chinese north indian street food rolls juices,550.0
Timepass Dinner,3.8,3.37,north indian,600.0
Baisakhi,3.8,3.37,north indian,500.0
Eat Repeat,3.9,3.52,south indian,150.0
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,3.81,south indian,150.0
Bridgeway,3.8,3.37,north indian chinese,550.0
Srinathji's Cafe,3.8,3.37,north indian cafe chinese fast food,550.0
Soho Bar & Grill,2.7,1.74,north indian chinese thai,1.1
Kollapuri's,3.9,3.52,south indian mangalorean,450.0
Aadhya Hotel,3.3,2.63,south indian north indian chinese biryani,800.0
Bhavani Restaurant,3.9,3.52,south indian north indian chinese,300.0
Puliyogare Point,4.2,3.96,south indian,100.0
Zephyr,3.9,3.52,italian continental,650.0
Redberrys,4.0,3.67,cafe italian,600.0
Hotel Dwarka,4.2,3.96,south indian,250.0
Nisarga Garden Restaurant,3.4,2.78,south indian chinese desserts beverages,350.0
Ma-Arya Family Restaurant,3.7,3.22,biryani south indian north indian chinese andhra,600.0
A2B - Adyar Ananda Bhavan,3.8,3.07,south indian fast food street food,400.0
Ragoo's,3.9,3.52,italian pizza north indian salad,800.0
Imperial Restaurant,3.7,3.22,north indian chinese biryani beverages,750.0
New Prashanth Hotel,3.9,2.95,south indian,400.0
Udupi Sri Krishna Bhavan,4.1,3.81,south indian,600.0
Chinese Kitchen,3.8,3.37,chinese,150.0
Vijayalakshmi,3.9,3.52,south indian,200.0
Nammura Donne Biriyani,3.5,2.83,biryani fast food,400.0
Curry Leaves,4.1,3.81,andhra north indian chinese,800.0
Goli Vada Pav No. 1,3.7,3.07,street food,200.0
Ice Thunder,3.8,3.37,south indian fast food north indian desserts,300.0
South Kitchen,4.3,4.11,south indian,100.0
Upahara Darshini,4.2,3.62,south indian,150.0
Mahalaxmi Tiffin Room,4.1,3.81,south indian,100.0
Starlite Bakery & Fastfood,3.7,3.22,north indian chinese rolls bakery arabian charcoal chicken desserts,300.0
Sandwichwallas,4.0,3.37,fast food,200.0
J K Fish Land,3.6,3.07,seafood mangalorean,300.0
Udupi Grand,3.8,3.37,south indian north indian chinese,300.0
Chinese Square,3.9,3.52,chinese,200.0
Castle Rock,3.6,3.07,north indian chinese,700.0
Swadd Kitchen,3.4,2.78,north indian fast food,500.0
Kamat Bugle Rock,3.9,3.52,south indian fast food,300.0
Basavanagudi Mylari,4.0,3.67,south indian,300.0
RS Shiv Sagar,3.7,3.22,north indian chinese south indian fast food juices,450.0
New Prashanth Hotel,2.9,2.95,south indian biryani chinese north indian,750.0
Shrinidhi Military Hotel,3.3,2.63,north indian mughlai,300.0
Dakshin Kitchen,3.6,3.07,south indian,100.0
Pramukh Family Restaurant,3.9,3.52,north indian chinese mughlai,700.0
Chaatimes,3.8,3.39,street food fast food,200.0
Vybhava,3.8,3.37,south indian north indian,250.0
Shree Venkateshwara North Karnataka Hotel,4.0,3.67,south indian,200.0
Kadamba Classic,3.6,3.07,south indian,300.0
Food Geek,3.8,3.37,sandwich fast food rolls,350.0
Rosewood International Hotel - Bar & Restaurant,3.6,3.07,north indian south indian andhra chinese,800.0
Anand Sagar Inn,3.3,2.63,south indian north indian chinese,450.0
Sangam Military Hotel,3.2,2.48,south indian,250.0
Kholi Mane,3.6,3.07,andhra south indian biryani north indian,450.0
Harshi Super Sandwich,3.8,3.37,fast food street food,150.0
Hotel Pork Paradise,3.7,3.22,south indian,300.0
Belly Squad Food Truck,3.8,3.37,chinese rolls biryani momos,300.0
New Rajadhani Spicy,3.7,3.22,north indian,700.0
Matru Sagar,3.7,3.12,south indian north indian,300.0
Sri Udupi Veg,3.3,2.63,south indian,250.0
50-50 EATING HOUSE,3.2,2.48,south indian biryani,100.0
Om Shiva Shakthi Chats Centre,3.9,3.52,street food fast food,300.0
Juice Junction Food Court,3.7,3.26,juices south indian chinese fast food,200.0
Burger King,3.2,3.03,burger fast food beverages,600.0
Rolls Corner,3.6,3.07,fast food rolls,150.0
New Ambur Hot Dum Biryani,3.2,2.48,biryani,150.0
Shri Vinayaka Ice N Juice,3.2,2.6,beverages fast food,150.0
Happy Chopsticks,3.6,3.07,chinese fast food,300.0
Jcubez,3.8,3.37,finger food,1.3
Gustoes Beer House,4.1,3.81,continental italian mexican north indian chinese steak,1.2
Blue Wings Bar & Restaurant,3.7,3.22,north indian chinese,700.0
Vi Ra's Bar and Restaurant,3.3,2.63,south indian north indian chinese,800.0
K27 - The Pub,3.1,2.33,chinese north indian,1.0
Darbar,3.0,2.19,north indian chinese,800.0
Soho Bar & Grill,2.7,1.74,north indian chinese thai,1.1
Deja Vu Resto Bar,4.4,4.26,north indian italian,900.0
Fattoush,4.2,3.96,arabian biryani chinese middle eastern fast food north indian mughlai seafood,1.0
Empire Restaurant,4.3,3.94,north indian mughlai south indian chinese,750.0
Abhiruchi Hotel,3.3,2.63,andhra biryani north indian chinese,550.0
Tulips,3.1,2.33,north indian south indian chinese continental,800.0
Barbeque Nation,4.7,4.7,north indian european mediterranean bbq kebab,1.6
Sattvam,4.3,4.11,north indian south indian,1.2
24th Main,4.1,3.81,north indian south indian chinese,800.0
Zaitoon,4.1,3.81,bbq arabian chinese north indian desserts,1.0
Mango Greens,3.9,3.52,north indian continental chinese,900.0
Oye Amritsar,3.8,3.37,north indian,1.0
Melt - Eden Park,4.0,3.67,north indian chinese thai mughlai seafood,1.0
Spice Code,4.0,3.59,south indian north indian chinese biryani,1.0
The Onyx - The HHI Select Bengaluru,3.3,2.63,north indian chinese continental,950.0
The Pavillion,2.7,1.74,north indian continental south indian chinese,1.0
Sankranthi Veg Restaurant,3.0,2.19,south indian north indian chinese,600.0
Tisano Cafe,3.8,3.37,cafe fast food chinese continental,500.0
Cafe Kabana,4.0,3.67,cafe continental,700.0
Butterly,3.9,3.52,cafe bakery beverages,450.0
Black Mug Cafe,3.7,3.22,cafe,300.0
#refuel,3.7,3.22,cafe beverages,400.0
WAFL,3.9,3.52,cafe fast food desserts beverages,400.0
Vaho Kafe & Pressery,3.9,3.52,cafe healthy food asian italian north indian biryani juices,500.0
Dreamcatcher,3.9,3.52,cafe,600.0
Cafe Coffee Day,3.6,2.7,cafe fast food,900.0
Cafe Arabica,3.8,3.37,cafe bakery,700.0
Starbucks,3.9,3.67,cafe desserts,700.0
Smoor,3.6,3.07,desserts cafe beverages,900.0
Kalmane Koffees,3.9,3.52,cafe,350.0
Shee-Sha Cafe,3.6,3.07,cafe north indian chinese continental,800.0
Brews N Bites,2.7,1.89,chinese fast food cafe street food finger food,650.0
D2V Cafe,3.6,3.07,cafe,700.0
Cafe Talk,3.3,2.63,cafe continental north indian bakery desserts,700.0
Cafe Choco Craze,3.7,3.22,cafe fast food desserts,400.0
Slate Cafe,4.1,3.81,cafe sandwich burger,600.0
Dialogues,4.0,3.67,cafe continental,600.0
Mudpipe Cafe,3.9,3.74,cafe continental north indian,800.0
TAB - Take A Break,4.1,3.81,cafe continental italian,550.0
Biggies Burger 'n' More,4.1,3.57,cafe burger beverages,650.0
Onesta,4.4,4.44,pizza cafe italian,600.0
Cafe Potpourri,3.7,3.22,cafe sandwich north indian beverages desserts,400.0
De Oxford Cafe,3.7,3.22,cafe beverages fast food,500.0
Vinaya Coffee Moments,3.7,3.27,burger cafe desserts sandwich italian,450.0
Brew Point,3.6,3.07,cafe american burger sandwich fast food,500.0
The Cravery,2.6,1.59,continental burger beverages cafe italian rolls,500.0
Cuppa,3.4,2.73,cafe fast food,550.0
Anju's Cafe,3.4,2.78,cafe north indian,600.0
Skytouch Le Cafe,3.7,3.22,cafe italian desserts,700.0
Woodee Pizza,2.7,2.48,cafe pizza fast food beverages,500.0
Hearts Unlock Cafe,3.2,2.48,cafe healthy food,500.0
eat.fit,4.5,4.41,healthy food north indian biryani continental sandwich desserts,500.0
Sai Abhiruchi,3.7,3.22,andhra north indian biryani,800.0
Capsicum Family Restaurant,3.8,3.37,biryani north indian,800.0
Box Magic,3.6,3.07,north indian south indian seafood rolls,400.0
Maa'r Rannaghor,3.8,3.37,bengali chinese,400.0
Easy Bites,4.1,3.81,fast food sandwich,300.0
Hiyar Majhe Kolkata,4.0,3.67,bengali north indian,400.0
Dabba Gosht,3.4,2.78,arabian middle eastern,400.0
Empire Restaurant,3.6,3.94,kerala seafood south indian chinese north indian charcoal chicken beverages,400.0
Punjabites,3.7,3.22,north indian charcoal chicken,400.0
Sri Lakshmi Dhaba,2.9,2.04,north indian,250.0
XO Belgian Waffle,4.5,3.72,desserts beverages,400.0
Swadista Aahar,4.1,3.81,south indian north indian chinese street food,300.0
Vegetarea,3.9,3.52,south indian,250.0
Al-Bek,3.6,3.07,biryani north indian charcoal chicken chinese seafood rolls,300.0
Aniram's,4.1,3.81,chinese north indian,500.0
Punjabi Nawabi,3.8,3.37,north indian,400.0
YummRajj,3.3,2.63,fast food,500.0
Swad Punjab Da,4.0,3.44,north indian,150.0
BOX8- Desi Meals,4.1,3.81,north indian mughlai fast food,500.0
Roti Wala,4.0,3.67,north indian,300.0
Midnight Mania,4.1,3.81,pizza italian beverages,700.0
Kitchens@JP Nagar,3.9,3.52,biryani kerala mughlai street food north indian chinese south indian andhra,400.0
Krishna Kuteera,4.0,3.67,south indian north indian chinese,400.0
Apna Punjab,3.6,3.07,north indian chinese fast food,450.0
Paratha Junction,2.9,1.94,north indian chinese,300.0
Nellore Bhojanam,3.1,2.33,andhra,250.0
Momoz,4.0,3.67,chinese momos,600.0
Kalingas,3.9,3.52,oriya fast food,250.0
Kanteen The Eatery,3.9,3.52,north indian,400.0
Kullad Cafe,3.9,3.52,north indian cafe fast food beverages,200.0
Donne Biriyani House,3.3,3.05,biryani andhra,350.0
Litti Twist,4.1,3.89,north indian bihari,300.0
FreshMenu,3.3,3.04,healthy food chinese biryani north indian continental salad american burger,450.0
Shanthi Sagar,3.6,2.83,south indian north indian chinese,400.0
Cakebuy,3.9,3.52,desserts,350.0
Five Star Chicken,3.9,2.94,burger fast food roast chicken finger food,300.0
Corner House Ice Cream,4.4,4.14,ice cream desserts,400.0
Delight Food,2.6,1.59,andhra chinese biryani,450.0
Andhra Kitchen,3.9,3.52,andhra biryani,400.0
Veg By Nature,3.4,2.78,north indian,200.0
Fattoush,4.2,3.96,arabian biryani chinese middle eastern fast food north indian mughlai seafood,1.0
Chicken Magic,3.7,3.22,chinese north indian,300.0
Behrouz Biryani,4.0,3.59,biryani,650.0
Abhiruchi Hotel,3.3,2.63,andhra biryani north indian chinese,550.0
Swathi Restaurant,3.9,3.44,andhra north indian chinese,400.0
Fresh Kitchen,3.4,2.78,north indian chinese,600.0
Hind Ka Chulah,3.8,3.37,north indian biryani,600.0
Kuttanad,3.6,3.07,kerala south indian,200.0
New Mahesh Friends Food Corner,3.2,2.48,north indian chinese,300.0
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,3.6,3.07,bohri,300.0
Pizza Hut,2.7,2.42,pizza,750.0
Shree Krishna Sannidhi,3.4,2.78,north indian chinese,450.0
BingeJoy!,3.6,3.07,biryani chinese fast food,100.0
Shiv Sai Hotel,3.5,2.93,north indian,400.0
MRA,3.9,3.52,bakery,200.0
Beijing Bites,3.7,2.23,chinese thai momos,400.0
A2B - Adyar Ananda Bhavan,4.1,3.07,south indian north indian chinese street food,200.0
Burj Hotel,3.5,2.85,north indian chinese,350.0
Shaadi Ki Biryani,3.1,2.33,biryani north indian mughlai,400.0
Subway,3.2,3.03,salad fast food,600.0
Madeena Hotel,3.9,3.52,north indian mughlai biryani,400.0
Biryani Durbar,3.7,3.22,biryani north indian,400.0
The Good Bowl,3.6,3.07,italian north indian biryani,500.0
Mahesh Friends Food Center,2.9,2.04,chinese north indian,300.0
Juice Shop,3.4,2.78,juices beverages ice cream,150.0
Kabab Magic,4.0,3.44,north indian kebab chinese fast food,400.0
Nammura Donne Biriyani,3.4,2.83,biryani fast food,400.0
Burger King,3.8,3.03,burger fast food beverages,600.0
Dadi's Dum Biryani,4.0,3.72,biryani north indian mughlai,800.0
Krishna Kuteera South,4.0,3.67,south indian north indian chinese,500.0
Alankrutha,3.9,3.52,andhra biryani north indian chinese,500.0
Paradise,4.0,3.67,biryani north indian kebab,800.0
Kabab Mehal,3.7,3.27,kebab north indian fast food beverages,400.0
Andhra Ruchulu,4.2,3.89,andhra north indian,800.0
Sri Punjabi Dhaba,3.3,2.63,north indian,400.0
Arabian Mexico,3.4,2.78,fast food arabian,400.0
CakeZone,3.7,3.22,bakery desserts,200.0
Fujian Express,3.6,3.0,chinese thai,200.0
Indian Food,2.9,2.04,north indian biryani chinese momos,450.0
Tandoori Paradise,3.5,2.93,north indian chinese,600.0
Kolkata Kathi Rolls,3.8,3.37,rolls,150.0
Adithya,4.0,3.31,south indian north indian chinese,300.0
Cheesiano Pizza,4.0,3.67,pizza italian,700.0
Polar Bear,3.9,3.47,desserts ice cream,300.0
Nati Palace,3.5,2.93,south indian north indian,200.0
KFC,3.9,3.26,burger fast food,400.0
Dande's Hyderabad Biryani,3.8,3.37,biryani andhra north indian,700.0
Onesta,4.4,4.44,pizza cafe italian,600.0
Upahara Bhavan,3.8,3.37,south indian north indian chinese,300.0
Sher-E-Punjab,3.2,2.63,north indian chinese,400.0
Shuddh Desi Khana,4.0,3.67,north indian,400.0
Karama Restaurant,3.5,2.93,arabian,400.0
Jaganath Hotel and Restaurant,3.6,3.07,north indian chinese,200.0
Five Star Chicken,3.5,2.94,fast food beverages,250.0
Sankranthi Veg Restaurant,3.0,2.19,south indian north indian chinese,600.0
Aramane Donne Biriyani,3.9,3.52,biryani fast food,300.0
Cafe Potpourri,3.7,3.22,cafe sandwich north indian beverages desserts,400.0
Mani's Dum Biryani,4.2,3.86,biryani kebab,750.0
Amontron,3.9,3.52,bengali,650.0
A M Biryani Hotel,3.3,2.63,north indian chinese biryani fast food,300.0
Birinz,4.1,3.81,biryani chinese mughlai fast food kebab,700.0
Just Shawarma,3.6,3.43,arabian,300.0
Hyderabadi Bawarchi,3.2,2.48,north indian chinese biryani,500.0
Fish Chain,3.9,3.52,seafood bbq biryani,250.0
Prasiddhi Food Corner,3.7,3.22,fast food north indian south indian,200.0
Biriyani Bhatti,3.7,3.22,chinese hyderabadi north indian,400.0
Hyderabad Biryaani House,3.6,3.12,biryani north indian chinese,550.0
Galito's,4.6,4.56,african burger,1.0
C. K. Mega Hot Food,3.9,3.52,chinese momos,600.0
Lassi Shop,3.9,3.26,beverages ice cream fast food,300.0
Red Chilli Restaurant,3.2,2.48,north indian chinese,350.0
RSS Donne Biryani,3.3,2.63,biryani,300.0
Rajdhani Thali Restaurant,3.9,3.52,north indian,900.0
PHEW (Play Hard Eat Wild),3.9,3.52,continental lebanese middle eastern north indian chinese bbq cafe,700.0
New Kabab Zone,3.6,3.0,north indian chinese biryani rolls,500.0
Bawarchi Paradise,3.5,2.93,north indian biryani,500.0
Shree Udupi Grand,3.5,3.22,south indian chinese north indian,450.0
Chicken County Grand,3.9,3.52,north indian chinese,650.0
Roll Over,4.1,3.81,desserts ice cream beverages fast food sandwich,500.0
Darjeeling Momos & Fast Food Center,3.8,3.37,fast food momos,250.0
Veruthe Oru Thattukada,3.7,3.3,kerala south indian,400.0
Savoury - Sea Shell Restaurant,3.9,3.52,arabian north indian chinese seafood biryani rolls beverages,900.0
Warm Oven,3.9,3.47,bakery desserts,500.0
Firangi Bake,4.0,3.7,mexican italian,600.0
Zaitoon,4.1,3.81,bbq arabian chinese north indian desserts,1.0
Kundana,3.7,3.22,andhra biryani,800.0
Food Ka Masti,3.2,2.48,north indian chinese south indian,400.0
The Shawarma Shop,4.1,3.81,arabian,250.0
Momo Junction,3.8,3.37,fast food momos,100.0
Antilla Aromas,3.7,3.22,desserts ice cream,300.0
Faasos,3.9,3.65,north indian biryani fast food,500.0
Punjabi Food Corner,3.0,2.19,north indian chinese street food,400.0
Mealer.in,4.0,3.59,north indian biryani,450.0
Pathaan Sir,3.9,2.83,fast food rolls momos,250.0
Cold Stone Creamery,3.9,3.52,ice cream desserts,400.0
Hari Super Sandwich,3.9,3.72,sandwich fast food,100.0
Amritsari Kulcha Land,4.1,3.81,north indian,300.0
Chokha Chowka,3.9,3.52,north indian chinese,400.0
